wavelength_nm,absorbance
512.6760563380282,0.7757987704242384
514.1100378707289,0.7659483181781976
515.5440194034296,0.7596499376691407
516.9780009361303,0.7558501169745552
518.4119824688311,0.7525128381811865
519.8459640015318,0.7528440962889836
521.2799455342325,0.7480667863270982
522.7139270669334,0.7411259564962096
524.1479085996341,0.7375381502522567
525.5818901323348,0.739007818679253
527.0158716650355,0.7434274748500084
528.4498531977363,0.7436037547936728
529.883834730437,0.7367743734035248
531.3178162631377,0.7263752459738099
532.7517977958385,0.7168102838817159
534.1857793285392,0.7093166883080406
535.6197608612399,0.7045889281376757
537.0537423939406,0.6980858653122447
538.4877239266414,0.6927621183971435
539.9217054593421,0.6876265372012429
541.3556869920429,0.6821961270277599
542.7896685247437,0.6754320402226996
544.2236500574444,0.6694150593084767
545.6576315901451,0.6654864245920096
547.0916131228458,0.6623059762914285
548.5255946555466,0.6582089340280805
549.9595761882473,0.6517347366575228
551.393557720948,0.640642992671571
552.8275392536488,0.6278622336737302
554.2615207863495,0.6166331086458681
555.6955023190502,0.6079558750616676
557.1294838517509,0.603066807937599
558.5634653844518,0.5986960841154794
559.9974469171525,0.5926088690730887
561.4314284498532,0.584333282085574
562.865409982554,0.5753024080889959
564.2993915152547,0.5667480456389085
565.7333730479554,0.5577806138987631
567.1673545806561,0.5490220322144654
568.6013361133569,0.5399862186748076
570.0353176460576,0.5297402170805702
571.4692991787583,0.5203482933569943
572.903280711459,0.5116120939772774
574.3372622441598,0.5041070757102297
575.7712437768605,0.4956422424784656
577.2052253095612,0.4871658321926082
578.6392068422621,0.47760997738306743
580.0731883749628,0.46784511815695773
581.5071699076635,0.45938645935404354
582.9411514403643,0.4509185389078546
584.375132973065,0.44274205150338075
585.8091145057657,0.4336480439718129
587.2430960384664,0.4239967942365417
588.6770775711672,0.41449650928665027
590.1110591038679,0.40469259679806524
591.5450406365686,0.39494193875831035
592.9790221692693,0.3850693357487699
594.4130037019702,0.3743789296380612
595.8469852346709,0.36449366904937885
597.2809667673716,0.35564818227901884
598.7149483000724,0.3455205753579782
600.1489298327731,0.3356374758193934
601.5829113654738,0.3231254588372443
603.0168928981745,0.31302254963160303
604.4508744308753,0.30527503067147566
605.884855963576,0.30054248531875216
607.3188374962767,0.2966353067425386
608.7528190289775,0.29236491738922965
610.1868005616782,0.28700304337598054
611.6207820943789,0.2799563220903164
613.0547636270796,0.27131304786479027
614.4887451597804,0.26172524038595163
615.9227266924812,0.25249663030545544
617.3567082251819,0.24540761418216916
618.7906897578827,0.23966431482671763
620.2246712905834,0.23397689405235797
621.6586528232841,0.2276499568098703
623.0926343559848,0.22129940237703177
624.5266158886856,0.21653459563356764
625.9605974213863,0.2125954643880557
627.394578954087,0.20927207805959958
628.8285604867878,0.20608746201954475
630.2625420194885,0.20257189659313557
631.6965235521893,0.19852641081068406
633.13050508489,0.19447212646712156
634.5644866175908,0.19077796568622918
635.9984681502915,0.18777564965796759
637.4324496829922,0.18522252332853584
638.866431215693,0.1826240149470574
640.3004127483937,0.1796254035761058
641.7343942810944,0.1764691899087606
643.1683758137951,0.1728025053362503
644.6023573464959,0.16865545019921807
646.0363388791966,0.1644471138558507
647.4703204118973,0.1608838509665761
648.904301944598,0.1582424303045909
650.3382834772988,0.15623388859971998
651.7722650099995,0.15451075986843543
653.2062465427003,0.15337173210635094
654.6402280754011,0.15203080052087492
656.0742096081018,0.15029115519241684
657.5081911408025,0.1481313399807235
658.9421726735033,0.14619611961844503
660.376154206204,0.14474204162429477
661.8101357389047,0.14421551720411996
663.2441172716054,0.14299838291708436
664.6780988043062,0.14116071853063428
