image,final_grade,confidence,delta_e,expert_review,rejection_reason,colour_ok,L_mean,a_mean,b_mean
JTV-emerald030-180ct-2.jpg,Expert-Review – see report,0.5,13.946489450302948,True,,True,61.043556799820024,0.9775755178792866,2.4955955561863954
JTV-emerald023-038ct-3.jpg,Emerald C+ (Commercial),0.92,4.244567289561569,False,,True,80.5374895309118,-3.8928471196912446,0.2330464648694361
JTV-emerald009-437ct-2.jpg,Emerald C (Commercial),0.85,5.9665262276528725,False,,True,91.98510792972041,-1.8432582631245198,0.8417435298153488
JTV-emerald035-1009ct-3.jpg,Emerald C+ (Commercial),0.92,4.6261476762903175,False,,True,78.15391502099189,-3.9335019672389744,0.2805201950448729
JTV-emerald024-373ct-2.jpg,Emerald C (Commercial),0.85,6.962465514618206,False,,True,94.56580303417232,-1.5597889413047765,0.33382855447508064
JTV-emerald009-437ct-1.jpg,Emerald C (Commercial),0.85,5.833663468031343,False,,True,91.19658977470961,-1.8354071494825184,0.8668910525570962
JTV-emerald022-030ct-1.jpg,Emerald C+ (Commercial),0.92,4.543931080982643,False,,True,85.36990098135716,-3.1249687096717937,0.22537643409469704
JTV-emerald033-100ct-3.jpg,Expert-Review – see report,0.5,13.59204481945488,True,,True,62.00348627985071,0.8940767127775513,2.6800114431808417
JTV-emerald030-180ct-3.jpg,Expert-Review – see report,0.5,13.444308234775342,True,,True,62.34445448841014,0.7348903481404002,2.153185349931376
JTV-emerald034-883ct-3.jpg,Emerald C (Commercial),0.85,5.920028751323146,False,,True,71.83548348323058,-4.977265843165062,0.5203591686723864
JTV-emerald013-501ct-2.jpg,Emerald C (Commercial),0.85,7.083248745367676,False,,True,94.93720044392701,-1.8077480095968759,-0.1370926936004566
JTV-emerald004-119ct-2.jpg,Emerald C+ (Commercial),0.92,4.595381049732598,False,,True,83.38259091333065,-3.444626073014292,-0.20256592766486436
JTV-emerald037-598ct-1.jpg,Emerald C (Commercial),0.85,5.583675272082488,False,,True,71.81671513740544,-5.345142853318408,0.7941842645771496
JTV-emerald028-1223ct-3.jpg,Emerald C+ (Commercial),0.92,4.86819057200095,False,,True,77.27564475899408,-3.6368869181241976,0.6069951573896429
JTV-emerald037-598ct-3.jpg,Emerald C (Commercial),0.85,5.158066754354021,False,,True,75.58525058734295,-3.875749342643114,0.6292538774730245
JTV-emerald001-188ct-3.jpg,Emerald C+ (Commercial),0.92,4.477856426113947,False,,True,86.75095102304546,-3.8154839555404867,-0.44469535832654317
JTV-emerald037-598ct-2.jpg,Emerald C (Commercial),0.85,6.1148835954695215,False,,True,72.19804221473535,-4.618371294252359,0.252261220836835
JTV-emerald004-143ct-1.jpg,Emerald C+ (Commercial),0.92,2.9039385310119563,False,,True,82.97819880084127,-5.9427224381937735,-0.2400649316724281
JTV-emerald018-191ct-3.jpg,Expert-Review – see report,0.5,10.751310511994802,True,,True,71.162720777701,0.6240151010410645,1.3307018466297127
JTV-emerald003-021ct-1.jpg,Emerald C (Commercial),0.85,5.753213113260935,False,,True,90.21482260039599,-2.1745257345844107,0.16479391807451538
JTV-emerald003-396ct-1.jpg,Emerald C (Commercial),0.85,5.425809023057834,False,,True,73.50229387369197,-4.221272969948604,1.0604124194656008
JTV-emerald002-321ct-1.jpg,Emerald C- (Commercial),0.75,8.419863178742812,False,,True,97.27052692250193,-0.8749541819135356,-0.11394882563191547
JTV-emerald027-038ct-2.jpg,Emerald C+ (Commercial),0.92,4.493528574438237,False,,True,78.28082964496588,-4.112254500652897,0.23929787559154517
JTV-emerald013-501ct-1.jpg,Emerald C (Commercial),0.85,7.117286469744009,False,,True,94.7512061472712,-1.712937689704361,-0.12542793950206924
JTV-emerald020-461ct-2.jpg,Emerald C (Commercial),0.85,7.059335766338819,False,,True,73.00892552055511,-2.884509518905247,0.039648815094633263
JTV-emerald005-104ct-2.jpg,Emerald C+ (Commercial),0.92,4.43696580332268,False,,True,82.15236285878686,-3.501269236234563,0.10559358254099302
JTV-emerald028-1223ct-1.jpg,Brazilian Commercial (Commercial),0.85,6.768161989667849,False,,True,68.92562414610354,-5.338072221588696,0.7333236189217168
JTV-emerald012-120ct-1.jpg,Emerald C+ (Commercial),0.92,4.788994145384928,False,,True,85.54019339272102,-2.706558721069064,0.41162788611204926
JTV-emerald018-191ct-4.jpg,Expert-Review – see report,0.5,10.410018024419081,True,,True,74.20314051742935,0.8493995047240489,0.8746795106496323
JTV-emerald014-355ct-1.jpg,Emerald C (Commercial),0.85,7.003995353288545,False,,True,94.50232143286333,-1.7813832025896195,-0.12228137153759515
JTV-emerald018-191ct-2.jpg,Expert-Review – see report,0.5,11.263764491002586,True,,True,70.32388830073809,0.7622963045841388,1.4430525469401043
JTV-emerald016-142ct-1.jpg,Expert-Review – see report,0.5,11.725190667623817,True,,True,76.19117339771735,2.0503008015857294,2.0013814926836644
JTV-emerald014-355ct-2.jpg,Emerald C (Commercial),0.85,7.5982307359601755,False,,True,95.81152449832385,-1.388656435894323,-0.06690406097787956
JTV-emerald005-104ct-1.jpg,Emerald C (Commercial),0.85,5.2129997027010475,False,,True,72.616699906546,-6.257253506726511,-0.02937254665930232
JTV-emerald004-119ct-1.jpg,Brazilian Commercial (Commercial),0.85,6.521984679572967,False,,True,69.80154016553445,-6.290846749543279,-0.3592606097003946
JTV-emerald017-244ct-3.jpg,Emerald C (Commercial),0.85,6.09584403008315,False,,True,93.14091141414953,-2.4422195227945593,0.010863120304673242
JTV-emerald006-322ct-1.jpg,Emerald C+ (Commercial),0.92,3.1370490653691707,False,,True,83.84045612382484,-5.571783160507573,-0.31062199724698053
JTV-emerald001-188ct-1.jpg,Emerald C+ (Commercial),0.92,3.9395789641654684,False,,True,84.73759664604641,-4.20373835578474,-0.14685704078419304
JTV-emerald023-038ct-2.jpg,Emerald C+ (Commercial),0.92,4.493528574438237,False,,True,78.28082964496588,-4.112254500652897,0.23929787559154517
JTV-emerald017-244ct-1.jpg,Emerald C+ (Commercial),0.92,4.100059625573408,False,,True,87.98394522106248,-4.164989674205259,-0.1464686045069721
JTV-emerald034-883ct-1.jpg,Zambian Commercial (Commercial),0.85,6.446942636209144,False,,True,65.7494115835571,-7.577796039797305,0.42646104984071376
JTV-emerald004-143ct-2.jpg,Emerald C (Commercial),0.85,5.980780547082038,False,,True,91.28734822442313,-1.8392455080571708,0.5840940151286271
JTV-emerald015-120ct-1.jpg,Emerald C+ (Commercial),0.92,4.974958251620512,False,,True,87.36579949016466,-2.7691584339752144,0.13311491917051232
JTV-emerald010-151ct-1.jpg,Emerald C+ (Commercial),0.92,3.7171617765407614,False,,True,83.60028508259015,-5.232903342550109,-0.7952126950487979
JTV-emerald029-289ct-3.jpg,Emerald C (Commercial),0.85,7.877000859555594,False,,True,95.96678904237974,-0.8675901879881871,0.3753582602435357
JTV-emerald034-883ct-2.jpg,Emerald C (Commercial),0.85,5.607682663268889,False,,True,71.72523969594295,-6.031073231071418,0.15787430179003215
JTV-emerald017-244ct-2.jpg,Emerald C (Commercial),0.85,5.02911173050555,False,,True,90.22441500189322,-3.1672621818712603,-0.006348738131846247
JTV-emerald006-322ct-3.jpg,Emerald C (Commercial),0.85,5.069622721008564,False,,True,89.93310806027931,-3.0709425237893675,-0.011045381945319661
JTV-emerald021-019ct-1.jpg,Emerald C+ (Commercial),0.92,4.004204631740931,False,,True,80.64662528259242,-4.607242628333554,-0.21707723538509402
JTV-emerald019-071ct-1.jpg,Emerald C- (Commercial),0.75,9.22896331412494,False,,True,79.91147051582256,0.7895495098950567,0.7451185810866319
JTV-emerald033-100ct-2.jpg,Expert-Review – see report,0.5,10.07916448153237,True,,True,65.16533989744227,-1.8622323524551025,1.6239521898689238
JTV-emerald011-272ct-1.jpg,Emerald C+ (Commercial),0.92,2.71618040633342,False,,True,78.74984427086947,-8.056352408562365,-0.598325665523561
